País,Ano,Quantidade (Kg),Valor (US$),Década,Ano_Quantidade,Continente
Alemanha,1974,12.297621213882216,12.218509980233808,1970,24275.504276203494,Europa
Alemanha,1975,11.808240829577406,11.917937136958438,1970,23321.275638415376,Europa
Alemanha,1976,12.032522507123305,12.051224222336618,1970,23776.26447407565,Europa
Alemanha,1977,11.988706124993348,12.215235537722009,1970,23701.672009111848,Europa
Alemanha,1978,12.989590554136164,13.412989113025338,1970,25693.410116081333,Europa
Alemanha,1979,12.979598631122764,13.446481038147303,1970,25686.62569099195,Europa
Alemanha,1980,13.032513065358382,13.46497103946496,1980,25804.375869409596,Europa
Alemanha,1981,13.46906172014483,13.657488560915786,1980,26682.21126760691,Europa
Alemanha,1982,13.812454894175211,13.935006791924698,1980,27376.28560025527,Europa
Alemanha,1983,13.653057508649294,13.71941917309872,1980,27074.01303965155,Europa
Alemanha,1984,13.282176850453002,13.24304000037387,1980,26351.838871298754,Europa
Alemanha,1985,13.882905620300447,13.931014554137503,1980,27557.567656296385,Europa
Alemanha,1986,14.672948547316315,14.917031279704203,1980,29140.475814970203,Europa
Alemanha,1987,14.08364277117134,14.438195037366679,1980,27984.19818631745,Europa
Alemanha,1988,14.523187666008537,14.82980529258695,1980,28872.09708002497,Europa
Alemanha,1989,14.875085370023594,15.220317498940577,1980,29586.544800976928,Europa
Alemanha,1991,14.945759101125395,15.329605610060046,1990,29757.006370340663,Europa
Alemanha,1992,14.738005205694014,15.108607904971675,1990,29358.106369742476,Europa
Alemanha,1997,15.397991987185575,15.446360781849753,1990,30749.789998409593,Europa
Alemanha,1998,14.918805864168764,15.391191253133567,1990,29807.77411660919,Europa
Alemanha,1999,14.761964957655593,15.328295489439983,1990,29509.16795035353,Europa
Alemanha,2000,13.96799556561525,14.327459550515211,2000,27935.9911312305,Europa
Alemanha,2001,13.720186178059128,13.972405753873739,2000,27454.092542296316,Europa
Alemanha,2002,13.540696009362806,13.62881464762111,2000,27108.473410744336,Europa
Alemanha,2003,13.258988230342867,13.35294321090891,2000,26557.753425376763,Europa
Alemanha,2004,12.948190926270597,13.219038080368797,2000,25948.174616246277,Europa
Alemanha,2005,12.443852560777373,12.854745335988289,2000,24949.924384358634,Europa
Alemanha,2006,12.659533951906594,13.361177107630853,2000,25395.025107524627,Europa
Alemanha,2007,12.363106308422322,13.38107019231923,2000,24812.7543610036,Europa
Alemanha,2008,12.591117335548718,13.877382401676025,2000,25282.963609781826,Europa
Alemanha,2009,10.934463192488426,12.584087759630217,2000,21967.336553709247,Europa
Alemanha,2010,12.168692637239774,13.573024898298756,2010,24459.072200851944,Europa
Alemanha,2011,12.196153614187171,13.746745517664683,2010,24526.4649181304,Europa
Alemanha,2012,11.637300061809333,13.289855519952281,2010,23414.247724360375,Europa
Alemanha,2013,11.65153021631891,12.933792735687963,2010,23454.530325449967,Europa
Alemanha,2014,11.659663021081812,13.0884280320542,2010,23482.56132445877,Europa
Alemanha,2015,11.46344105987132,12.789058918074424,2010,23098.83373564071,Europa
Alemanha,2016,11.972796684287408,13.315186268336769,2010,24137.158115523413,Europa
Alemanha,2017,11.330083772929386,12.663370902278356,2010,22852.778969998573,Europa
Alemanha,2018,11.870404085874096,13.155751730749605,2010,23954.475445293927,Europa
Alemanha,2019,11.523430097615314,12.930706380673033,2010,23265.80536708532,Europa
Alemanha,2020,11.827685108614363,13.130666808307488,2020,23891.92391940101,Europa
Alemanha,2021,11.576294552586889,13.212145578778797,2020,23395.691290778104,Europa
Alemanha,2022,11.43605521971203,12.991333994997298,2020,23123.703654257723,Europa
Alemanha,2023,11.537198477345619,13.232021047056836,2020,23339.752519670186,Europa
Argélia,2016,0.0,3.784189633918261,2010,0.0,África
Arábia Saudita,2016,0.0,3.784189633918261,2010,0.0,Ásia
Arábia Saudita,2018,6.335054251498059,8.086410275323782,2010,12784.139479523083,Ásia
Arábia Saudita,2021,7.828436359157585,9.078179468373843,2020,15821.26988185748,Ásia
Arábia Saudita,2023,2.1972245773362196,5.087596335232384,2020,4444.985319951172,Ásia
Argentina,1970,9.879502189785617,9.414178772232386,1970,19462.619313877665,América do Sul
Argentina,1971,10.124348500692786,9.617337639062423,1970,19955.090894865483,América do Sul
Argentina,1972,11.560829522377283,10.97057477379638,1970,22797.955818128,América do Sul
Argentina,1973,11.66897149035192,11.240092595368653,1970,23022.880750464337,América do Sul
Argentina,1974,12.282714191188612,12.028583394318188,1970,24246.07781340632,América do Sul
Argentina,1975,11.890155694063608,11.417031114571483,1970,23483.057495775625,América do Sul
Argentina,1976,12.761835305407093,12.533605040581913,1970,25217.386563484415,América do Sul
